Id,Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default
6128,Home Mortgage,,1 year,0,7,12,73766,0,61,0,debt consolidation,Short Term,147708,33136,26919,,1
6129,Home Mortgage,1302735,8 years,0,12,18,390126,0,37,0,debt consolidation,Short Term,215490,271567,26272,7370,1
6130,Rent,685976,9 years,0,11,20,638132,0,,0,debt consolidation,Short Term,275792,283822,6288,742,0
6131,Home Mortgage,1986032,6 years,0,16,16,1071202,0,,0,other,Short Term,219010,517142,43030,746,1
6132,Rent,1371192,6 years,0,9,25.5,269588,1,,1,debt consolidation,Long Term,326238,202559,18854,723,1
6133,Home Mortgage,1408033,10+ years,0,16,22.5,519222,0,,0,debt consolidation,Long Term,568656,389234,27574,690,0
6134,Home Mortgage,2282565,10+ years,0,13,33.7,1356014,0,,0,other,Short Term,119856,885362,29293,744,1
6135,Rent,,3 years,0,10,28.7,319022,0,36,0,debt consolidation,Short Term,216920,115729,29405,,1
6136,Rent,,10+ years,0,6,20.6,418594,0,,0,debt consolidation,Short Term,409926,243656,8340,,0
6137,Rent,1115547,10+ years,0,6,16.7,102432,1,,1,other,Short Term,99999999,70319,8292,647,0
6138,Home Mortgage,,3 years,0,16,21,897886,0,62,0,debt consolidation,Long Term,277992,211698,24489,,0
6139,Home Mortgage,,10+ years,0,14,12,831204,0,,0,debt consolidation,Short Term,368786,262010,19169,,0
6140,Own Home,1140912,10+ years,0,13,15.5,614658,0,,0,debt consolidation,Short Term,330264,382736,15688,7300,1
6141,Home Mortgage,,10+ years,0,30,21.8,1196932,0,6,0,debt consolidation,Short Term,529606,351462,19308,,0
6142,Rent,,8 years,0,13,12.6,828542,0,80,0,debt consolidation,Long Term,601458,437209,14674,,1
6143,Rent,,8 years,0,8,13.4,730378,0,30,0,debt consolidation,Long Term,327954,391096,15263,,0
6144,Home Mortgage,1262778,1 year,0,7,24.3,675422,0,9,0,debt consolidation,Short Term,221540,190171,7787,732,1
6145,Rent,1094514,6 years,0,9,31,360492,0,,0,debt consolidation,Short Term,218504,278939,25538,720,0
6146,Rent,876717,2 years,0,6,15.4,238392,1,,1,debt consolidation,Short Term,187572,133627,10301,738,0
6147,Own Home,,3 years,0,9,9.6,429440,0,,0,debt consolidation,Short Term,222398,244036,10244,,0
6148,Rent,772160,< 1 year,0,9,13.4,417516,0,,0,debt consolidation,Long Term,290576,255303,15964,723,1
6149,Home Mortgage,1639567,10+ years,0,22,19.9,1122748,0,35,0,debt consolidation,Short Term,431464,355851,43858,731,0
6150,Rent,,10+ years,0,15,15,400466,0,14,0,buy house,Short Term,200442,133152,11668,,0
6151,Home Mortgage,1569514,10+ years,1,13,28.2,859034,2,52,0,debt consolidation,Long Term,454322,338295,28251,710,0
6152,Home Mortgage,1525586,10+ years,0,18,17.6,1118810,0,44,0,debt consolidation,Short Term,229416,503405,42335,699,0
6153,Rent,731823,10+ years,0,6,15.6,733744,0,,0,debt consolidation,Long Term,234366,285152,9819,736,0
6154,Rent,464930,1 year,0,2,6.8,66726,0,,0,debt consolidation,Short Term,86130,48868,1321,693,0
6155,Home Mortgage,4237817,10+ years,0,7,21.9,1613018,0,,0,debt consolidation,Short Term,588830,72447,33196,748,0
6156,Rent,1277161,7 years,0,10,8.5,716870,0,,0,other,Long Term,323840,292220,15113,672,0
6157,Home Mortgage,1050966,10+ years,0,9,23.7,467192,0,16,0,home improvements,Short Term,221254,79895,19268,746,0
6158,Home Mortgage,,< 1 year,0,14,17.5,981838,0,13,0,debt consolidation,Short Term,514294,418038,34342,,0
6159,Home Mortgage,1568279,7 years,0,12,9.7,986898,0,47,0,debt consolidation,Long Term,664356,254847,13984,719,0
6160,Rent,890169,< 1 year,0,4,11.6,203126,0,,0,business loan,Short Term,223102,83163,6105,747,0
6161,Own Home,968924,,0,4,23.7,252384,0,49,0,debt consolidation,Long Term,334422,80864,2107,708,1
6162,Rent,1943301,2 years,0,17,22.8,838244,0,4,0,debt consolidation,Long Term,764610,499529,22510,723,0
6163,Rent,748809,10+ years,0,7,16.6,383636,0,,0,other,Short Term,153494,322392,13728,737,0
6164,Home Mortgage,,4 years,0,8,11.1,216348,0,,0,debt consolidation,Short Term,162338,174154,13938,,1
6165,Rent,991990,10+ years,0,9,16.5,209110,0,33,0,debt consolidation,Short Term,239426,41363,12086,741,0
6166,Rent,883101,< 1 year,0,8,10.9,187264,0,48,0,debt consolidation,Short Term,99999999,154945,8095,736,0
6167,Home Mortgage,,5 years,0,16,18.4,378774,0,,0,debt consolidation,Short Term,180246,205105,15936,,0
6168,Rent,1333325,4 years,0,15,8.9,447920,0,,0,debt consolidation,Short Term,99999999,337706,19222,725,0
6169,Home Mortgage,2437149,10+ years,0,9,14.9,301950,0,,0,debt consolidation,Short Term,451506,147326,55851,743,1
6170,Rent,,< 1 year,0,12,14.7,808434,0,10,0,debt consolidation,Short Term,262064,328149,13580,,0
6171,Home Mortgage,1151514,7 years,0,12,15.4,624558,0,,0,debt consolidation,Long Term,468336,426113,16025,673,0
6172,Home Mortgage,2056560,10+ years,0,14,13,1071488,0,19,0,debt consolidation,Short Term,497904,861536,23308,711,1
6173,Home Mortgage,1313964,10+ years,0,15,17.2,793804,1,,1,other,Short Term,268488,181678,36353,719,0
6174,Own Home,584991,5 years,0,9,43,548680,1,82,1,medical bills,Short Term,54626,277210,17062,689,0
6175,Rent,1139126,1 year,0,16,14.2,1039104,0,,0,debt consolidation,Short Term,99999999,317680,23542,737,0
6176,Rent,1517264,3 years,0,9,10.3,204380,0,48,0,debt consolidation,Long Term,395296,103075,9698,7320,1
6177,Rent,,< 1 year,0,7,23.4,294822,0,26,0,debt consolidation,Short Term,337656,221008,12928,,0
6178,Home Mortgage,752856,< 1 year,0,7,14.5,132990,0,,0,debt consolidation,Short Term,87164,74081,7779,729,0
6179,Home Mortgage,,7 years,0,8,18.6,178002,1,62,1,debt consolidation,Short Term,104148,102372,6034,,0
6180,Rent,616835,3 years,0,3,10,77110,0,,0,other,Short Term,52910,65075,8738,709,0
6181,Rent,1400775,3 years,0,8,15.5,814902,0,,0,debt consolidation,Short Term,99999999,154831,3432,748,0
6182,Home Mortgage,1611295,10+ years,0,22,16.3,1431870,0,,0,debt consolidation,Short Term,386320,588639,34508,736,0
6183,Rent,1615817,3 years,0,13,26.3,464728,0,11,0,debt consolidation,Short Term,440220,237196,19659,735,1
6184,Home Mortgage,2263299,2 years,0,17,21.4,1288628,0,,0,debt consolidation,Long Term,479710,391742,31158,734,1
6185,Rent,1094248,1 year,0,20,13.8,213752,0,66,0,business loan,Short Term,333762,92663,8918,710,0
6186,Home Mortgage,1028907,10+ years,0,13,13.1,314094,0,39,0,home improvements,Short Term,212828,72162,12947,664,0
6187,Own Home,2228016,4 years,0,15,27.4,1980792,0,,0,buy a car,Short Term,150480,1110246,44783,745,0
6188,Rent,,2 years,0,6,16.5,651662,0,45,0,debt consolidation,Long Term,400906,183464,6493,,0
6189,Rent,713127,3 years,0,9,17.7,0,0,10,0,buy a car,Long Term,108658,0,10114,739,0
6190,Home Mortgage,754756,2 years,0,14,15,496100,0,61,0,debt consolidation,Short Term,327184,245936,21825,713,1
6191,Home Mortgage,1433835,10+ years,0,18,8.5,1049312,0,,0,debt consolidation,Short Term,265628,380608,17326,733,0
6192,Home Mortgage,,5 years,0,9,27,1203334,0,,0,debt consolidation,Long Term,461208,881277,45665,,1
6193,Home Mortgage,,10+ years,0,9,23.9,263252,0,29,0,other,Short Term,64790,140961,9625,,0
6194,Rent,931380,9 years,0,8,23.3,655314,0,12,0,debt consolidation,Short Term,366674,256956,26079,695,0
6195,Rent,,2 years,0,10,11,306240,0,,0,debt consolidation,Short Term,360140,233548,13539,,1
6196,Home Mortgage,1308055,5 years,0,12,13.8,621940,0,,0,debt consolidation,Short Term,134310,345914,15370,747,0
6197,Rent,3896539,< 1 year,0,20,8.5,1577906,0,,0,debt consolidation,Short Term,619256,911677,66891,718,0
6198,Home Mortgage,1403511,10+ years,0,9,23,614020,0,20,0,debt consolidation,Short Term,100188,405156,20234,732,0
6199,Rent,968810,2 years,0,11,13.5,430980,0,,0,debt consolidation,Short Term,426272,260547,18246,740,0
6200,Rent,,7 years,0,11,20.5,664686,0,31,0,debt consolidation,Short Term,295130,270959,19832,,0
6201,Home Mortgage,840598,< 1 year,0,11,25.8,294052,0,31,0,debt consolidation,Short Term,324588,84056,18493,739,0
6202,Rent,1008159,4 years,0,20,22.4,763532,0,,0,debt consolidation,Short Term,336732,435214,27136,722,0
6203,Home Mortgage,1520760,8 years,0,12,11.7,933768,0,,0,debt consolidation,Short Term,99999999,476615,24839,740,0
6204,Home Mortgage,,6 years,0,8,19.1,444488,0,8,0,debt consolidation,Short Term,777854,364686,28950,,0
6205,Home Mortgage,1690658,10+ years,0,15,19.4,998602,0,,0,other,Short Term,219956,735642,22965,698,1
6206,Rent,,,0,7,9,220176,0,,0,debt consolidation,Short Term,76230,109326,3321,,1
6207,Rent,2001517,10+ years,0,16,14,531366,0,54,0,debt consolidation,Short Term,212080,162925,16279,734,0
6208,Home Mortgage,1512970,< 1 year,0,19,16,363836,0,9,0,debt consolidation,Short Term,179674,217436,12986,742,0
6209,Home Mortgage,,1 year,0,14,20.4,2477156,0,,0,debt consolidation,Short Term,563750,1275071,60973,,1
6210,Home Mortgage,,,1,11,24,510686,1,29,0,debt consolidation,Long Term,413666,426056,20281,,1
6211,Rent,444258,,0,13,32.2,460350,1,44,1,debt consolidation,Short Term,142010,199975,11291,696,0
6212,Rent,1498416,3 years,0,6,17.1,140976,0,31,0,debt consolidation,Long Term,325314,19722,22351,710,0
6213,Home Mortgage,1488232,< 1 year,0,11,15.1,861498,0,6,0,debt consolidation,Long Term,99999999,286444,18975,726,0
6214,Own Home,,5 years,0,8,9.9,342408,0,,0,debt consolidation,Short Term,198924,228874,8752,,0
6215,Rent,933185,7 years,0,11,38.7,235576,0,78,0,debt consolidation,Short Term,137764,158897,15242,724,1
6216,Rent,732830,4 years,0,8,15.8,221188,0,49,0,debt consolidation,Short Term,99999999,144210,9099,740,0
6217,Rent,2283648,10+ years,0,8,18,881254,0,,0,debt consolidation,Long Term,771232,650731,29688,654,0
6218,Home Mortgage,1065064,10+ years,0,17,16.8,423654,0,47,0,debt consolidation,Short Term,291500,240749,11982,717,1
6219,Rent,,10+ years,0,12,13.1,648252,0,,0,debt consolidation,Short Term,296824,395827,28733,,0
6220,Home Mortgage,759316,2 years,0,11,19.6,311960,1,,1,debt consolidation,Short Term,274758,202597,19616,725,0
6221,Rent,,2 years,0,13,15.1,1148664,0,,0,debt consolidation,Short Term,303204,536674,31484,,0
6222,Home Mortgage,1438110,10+ years,0,7,23.5,923780,0,,0,debt consolidation,Short Term,99999999,608722,33316,743,0
6223,Rent,952850,< 1 year,0,13,30,1110406,0,10,0,debt consolidation,Short Term,432498,199462,9687,720,1
6224,Rent,757948,1 year,0,14,9.7,120736,0,,0,debt consolidation,Short Term,65824,61940,17433,743,0
6225,Rent,3591247,10+ years,0,13,20.5,727254,0,60,0,debt consolidation,Short Term,469480,268831,21428,742,0
6226,Home Mortgage,1577475,10+ years,0,19,20.5,1379818,0,71,0,debt consolidation,Short Term,178200,668515,33653,733,0
6227,Home Mortgage,1148778,3 years,0,17,22.7,672188,1,,1,debt consolidation,Short Term,487718,316958,28719,721,1
6228,Home Mortgage,2124067,8 years,0,18,23.6,1131504,0,,0,debt consolidation,Long Term,469524,651795,29560,688,1
6229,Rent,539296,,0,11,25.4,1124046,0,52,0,debt consolidation,Short Term,267608,258229,12718,739,1
6230,Rent,399475,2 years,0,12,13.5,341484,0,,0,debt consolidation,Short Term,166298,238583,8156,730,0
6231,Rent,464322,1 year,0,8,7.4,540276,0,,0,debt consolidation,Short Term,107536,87248,4991,741,1
6232,Rent,,3 years,3,7,8.3,59774,3,,0,business loan,Short Term,71654,33820,11363,,1
6233,Rent,859883,10+ years,0,11,27,214368,0,9,0,debt consolidation,Long Term,398266,55917,16123,721,1
6234,Home Mortgage,2497664,8 years,0,11,28.5,1718046,0,,0,debt consolidation,Long Term,775698,1235969,51036,6810,1
6235,Rent,,9 years,0,13,22.5,524590,0,52,0,debt consolidation,Short Term,219494,240122,21054,,0
6236,Home Mortgage,1212656,9 years,0,11,16,326370,0,,0,debt consolidation,Short Term,252208,215631,14956,730,0
6237,Home Mortgage,,10+ years,0,14,20.5,1082334,0,63,0,debt consolidation,Long Term,606364,731918,26024,,0
6238,Rent,758138,3 years,0,16,18.7,236566,1,,1,debt consolidation,Short Term,123772,126065,15036,740,0
6239,Own Home,2314428,10+ years,0,13,32,1034682,0,20,0,debt consolidation,Short Term,558316,628197,35681,672,0
6240,Home Mortgage,2602810,< 1 year,0,11,22,1865842,0,29,0,debt consolidation,Short Term,99999999,1389052,50321,733,0
6241,Home Mortgage,,10+ years,0,11,46.5,934274,0,,0,debt consolidation,Long Term,703076,585789,19108,,0
6242,Home Mortgage,1608901,3 years,0,11,22.4,718608,0,,0,debt consolidation,Short Term,392194,454290,23691,699,0
6243,Home Mortgage,1424582,< 1 year,0,11,5.1,336534,0,,0,debt consolidation,Short Term,175956,70338,7526,720,0
6244,Own Home,565896,3 years,0,6,11.5,262394,0,41,0,debt consolidation,Short Term,152900,86108,2452,721,0
6245,Home Mortgage,,< 1 year,0,9,10.8,1035100,0,,0,debt consolidation,Short Term,336578,244055,6758,,0
6246,Rent,670130,,0,7,16.5,358754,1,,1,debt consolidation,Short Term,221694,85196,3217,739,0
6247,Own Home,,< 1 year,0,10,23.2,663652,0,3,0,debt consolidation,Short Term,110484,218367,19537,,1
6248,Home Mortgage,867540,10+ years,0,16,15,291852,1,,1,debt consolidation,Long Term,257444,194826,5668,682,0
6249,Rent,,10+ years,0,13,13.1,779658,0,,0,debt consolidation,Short Term,309562,317813,19953,,1
6250,Home Mortgage,,3 years,0,15,16.8,1013628,0,,0,debt consolidation,Short Term,131230,142690,4006,,0
6251,Rent,938315,< 1 year,0,8,28,314578,0,,0,debt consolidation,Short Term,217294,183920,8523,705,1
6252,Home Mortgage,1818300,10+ years,0,9,17,331958,0,9,0,debt consolidation,Short Term,759682,266057,33336,699,0
6253,Rent,,4 years,0,12,16.5,828872,0,14,0,debt consolidation,Short Term,570262,589855,96177,,0
6254,Home Mortgage,868490,,0,9,17.4,382954,1,,1,debt consolidation,Short Term,181258,108490,16212,720,0
6255,Home Mortgage,,3 years,0,5,19.6,404096,0,,0,buy a car,Short Term,175076,62472,9337,,0
6256,Rent,2372397,10+ years,0,8,20.6,411114,0,79,0,debt consolidation,Short Term,79662,276944,42703,645,0
6257,Rent,519061,3 years,0,10,6.6,281930,0,,0,business loan,Short Term,109274,100320,4455,707,0
6258,Home Mortgage,1872830,8 years,0,10,15.8,951984,0,,0,debt consolidation,Short Term,433708,418475,28873,743,1
6259,Home Mortgage,1641524,3 years,0,7,22.6,132660,0,,0,debt consolidation,Short Term,99999999,111473,18467,741,0
6260,Rent,,5 years,0,23,21.6,513964,0,45,0,other,Short Term,139260,249907,27819,,0
6261,Home Mortgage,1354966,< 1 year,0,2,8.9,118272,0,,0,debt consolidation,Short Term,107470,80066,1118,746,0
6262,Home Mortgage,1132780,10+ years,0,11,34.1,1122396,0,,0,debt consolidation,Short Term,99999999,520543,15953,747,0
6263,Home Mortgage,1787140,5 years,0,12,14.3,198242,0,6,0,home improvements,Long Term,457424,133380,22339,700,0
6264,Home Mortgage,1763466,6 years,0,9,14,690140,0,,0,debt consolidation,Long Term,609400,520334,26599,691,0
6265,Home Mortgage,,10+ years,0,13,22.8,9167356,0,41,0,home improvements,Short Term,769384,2240594,69413,,0
6266,Home Mortgage,,10+ years,0,9,28.5,875600,0,0,0,debt consolidation,Short Term,137676,443878,16647,,1
6267,Own Home,,8 years,0,9,18.4,487322,0,,0,debt consolidation,Short Term,65010,267672,14783,,1
6268,Rent,1452360,4 years,0,4,11.5,407572,0,,0,debt consolidation,Short Term,431200,95741,787,7300,1
6269,Home Mortgage,569202,10+ years,0,11,21,246224,1,36,1,debt consolidation,Short Term,109846,122493,4212,733,0
6270,Rent,,1 year,0,15,11.7,351824,0,,0,debt consolidation,Short Term,180730,203281,8906,,0
6271,Rent,,10+ years,0,13,16.1,572264,0,47,0,debt consolidation,Long Term,537922,303449,21699,,1
6272,Rent,,10+ years,0,13,20.5,220440,0,15,0,debt consolidation,Short Term,157124,106799,9669,,0
6273,Home Mortgage,670320,4 years,0,10,18.8,332112,1,,1,debt consolidation,Long Term,323400,154033,7016,700,0
6274,Home Mortgage,1068313,10+ years,0,15,12,382932,0,,0,debt consolidation,Short Term,261448,290700,22078,703,0
6275,Home Mortgage,372058,,0,12,10.5,374374,0,,0,debt consolidation,Short Term,123398,106704,9736,741,1
6276,Rent,,6 years,0,6,17,88704,0,,0,other,Short Term,184514,47101,12551,,1
6277,Rent,837026,4 years,0,12,20.4,385616,0,,0,debt consolidation,Short Term,99999999,223801,7477,744,0
6278,Home Mortgage,,5 years,0,16,20.9,962456,0,32,0,debt consolidation,Long Term,660660,418095,26674,,0
6279,Home Mortgage,,5 years,0,8,14,883014,0,,0,debt consolidation,Short Term,157256,183027,3492,,0
6280,Home Mortgage,2985052,9 years,0,14,21.2,625372,0,12,0,other,Long Term,99999999,318117,23109,691,0
6281,Rent,670871,< 1 year,0,8,17.1,335016,0,50,0,other,Short Term,194194,11001,8162,745,0
6282,Rent,886312,10+ years,0,5,9.5,427856,0,,0,home improvements,Short Term,43670,339587,7460,731,1
6283,Home Mortgage,808469,1 year,0,25,10.2,930600,0,,0,debt consolidation,Long Term,467874,475798,20953,709,0
6284,Own Home,,10+ years,0,8,13.5,113630,0,,0,debt consolidation,Short Term,66858,60344,18992,,1
6285,Home Mortgage,,10+ years,0,11,15.9,209880,1,,1,debt consolidation,Short Term,72820,58178,10742,,1
6286,Home Mortgage,1535656,,0,12,31.4,689590,0,,0,home improvements,Short Term,111144,305520,20987,740,0
6287,Rent,1168386,10+ years,0,4,9.8,146542,2,,1,debt consolidation,Short Term,180378,91618,8003,740,1
6288,Own Home,995999,2 years,0,12,19.3,288244,0,64,0,debt consolidation,Short Term,155254,189943,19837,745,0
6289,Home Mortgage,2327196,2 years,0,17,16.7,754776,0,,0,debt consolidation,Short Term,785950,468673,31999,711,0
6290,Rent,1632442,3 years,0,5,11.6,393426,0,,0,debt consolidation,Short Term,400268,272498,5142,712,0
6291,Home Mortgage,1128942,10+ years,0,13,11.1,300828,1,16,1,debt consolidation,Short Term,267982,83923,18157,729,1
6292,Home Mortgage,2240100,10+ years,0,10,22,871046,0,62,0,debt consolidation,Long Term,605220,681549,64590,705,1
6293,Rent,613320,< 1 year,0,8,15.3,201058,0,,0,debt consolidation,Long Term,223322,61294,8137,745,0
6294,Rent,621319,2 years,0,9,25,569624,0,19,0,debt consolidation,Short Term,224818,153482,11080,748,0
6295,Rent,,2 years,0,5,12.8,110418,0,,0,debt consolidation,Short Term,209880,85538,4941,,0
6296,Home Mortgage,741304,5 years,0,9,19.4,915596,0,25,0,debt consolidation,Short Term,99999999,291004,8043,737,0
6297,Rent,,5 years,0,10,16,429044,0,,0,debt consolidation,Short Term,268268,207860,6897,,0
6298,Home Mortgage,1365359,10+ years,0,11,14.5,580470,0,,0,debt consolidation,Short Term,137522,409070,26966,730,1
6299,Rent,1885940,2 years,0,15,16.4,488840,0,,0,debt consolidation,Short Term,99999999,222072,19174,732,0
6300,Home Mortgage,871169,10+ years,0,7,16.2,179168,0,,0,debt consolidation,Short Term,218548,63289,22505,708,1
6301,Home Mortgage,,10+ years,0,6,32.7,1122616,0,28,0,debt consolidation,Long Term,454300,585599,15133,,1
6302,Home Mortgage,1803936,2 years,0,13,24.5,1315666,0,,0,debt consolidation,Short Term,99999999,418133,10989,733,0
6303,Home Mortgage,854012,4 years,0,25,21.6,622952,0,40,0,debt consolidation,Short Term,242792,171627,18005,745,0
6304,Home Mortgage,1595354,9 years,0,9,18,290092,1,75,1,home improvements,Long Term,769692,120745,11221,692,0
6305,Rent,817551,6 years,0,8,8.8,279620,0,,0,debt consolidation,Short Term,99999999,155990,3781,740,0
6306,Home Mortgage,,10+ years,0,11,13.3,361592,1,,1,debt consolidation,Short Term,177540,167998,10752,,1
6307,Own Home,934705,,0,23,19.4,907236,0,,0,other,Short Term,129866,654246,22355,665,1
6308,Rent,1053056,2 years,0,10,8,399014,0,22,0,debt consolidation,Long Term,478852,162298,20973,711,0
6309,Home Mortgage,1217710,10+ years,0,14,15.8,1000384,0,62,0,debt consolidation,Short Term,325380,794865,19280,742,0
6310,Rent,486514,10+ years,0,3,12.5,56584,0,,0,other,Short Term,66022,1368,3345,737,0
6311,Rent,1496896,8 years,0,14,33.5,497838,0,12,0,debt consolidation,Short Term,727430,174135,26695,722,1
6312,Home Mortgage,1407900,10+ years,0,5,17.6,360756,0,,0,debt consolidation,Long Term,382558,236474,8447,741,0
6313,Own Home,1253012,4 years,0,5,9.2,112574,0,,0,debt consolidation,Short Term,168916,95380,11486,691,0
6314,Rent,963699,7 years,0,11,12.4,111628,0,,0,debt consolidation,Short Term,206008,71231,8994,744,1
6315,Rent,,2 years,0,7,14,630806,0,,0,debt consolidation,Long Term,533434,320340,20234,,1
6316,Home Mortgage,807690,10+ years,0,14,29.7,517638,0,3,0,debt consolidation,Short Term,260986,243637,21740,7250,1
6317,Rent,870485,3 years,0,9,11.2,138908,0,,0,debt consolidation,Short Term,264308,101137,24156,674,0
6318,Rent,,5 years,0,11,14,462418,0,,0,debt consolidation,Short Term,266684,268774,22025,,0
6319,Home Mortgage,1258712,5 years,0,6,16.8,322960,0,,0,debt consolidation,Short Term,152482,143355,15944,749,0
6320,Home Mortgage,768816,8 years,0,6,13.1,287210,0,,0,debt consolidation,Short Term,133540,117819,8137,712,1
6321,Home Mortgage,1690848,9 years,0,13,25,532686,0,16,0,debt consolidation,Short Term,435072,376770,20008,739,1
6322,Home Mortgage,1845793,9 years,0,20,15,1877018,0,,0,debt consolidation,Short Term,449944,936966,30456,751,0
6323,Home Mortgage,750880,,0,10,33.5,528264,0,44,0,home improvements,Short Term,97812,327123,20336,731,0
6324,Home Mortgage,1129398,10+ years,0,8,13,352638,0,57,0,debt consolidation,Short Term,326942,105678,9976,745,0
6325,Home Mortgage,1333192,5 years,0,12,26,487190,0,57,0,debt consolidation,Short Term,330792,302100,26442,706,0
6326,Rent,226765,,0,22,15.6,166386,0,79,0,buy a car,Short Term,65648,40242,4554,712,1
6327,Rent,814283,4 years,0,12,20.4,370216,0,19,0,debt consolidation,Short Term,161634,102638,17439,717,0
6328,Own Home,1766525,10+ years,0,12,17.1,1277364,0,79,0,home improvements,Short Term,674322,77216,4151,725,0
6329,Home Mortgage,775105,3 years,0,8,15.8,221298,0,43,0,other,Short Term,32846,92131,14985,740,1
6330,Home Mortgage,1716156,6 years,0,14,20.1,1330208,0,33,0,medical bills,Short Term,99999999,204497,10855,747,0
6331,Home Mortgage,1041086,,0,8,41.1,2649394,2,44,2,home improvements,Long Term,482196,942704,25593,594,0
6332,Home Mortgage,1864166,9 years,0,9,17,256960,0,,0,buy house,Long Term,774862,159790,25663,706,1
6333,Home Mortgage,,9 years,0,8,18.7,794948,0,,0,debt consolidation,Long Term,786258,674861,27768,,1
6334,Home Mortgage,,10+ years,0,10,28.8,828344,0,,0,home improvements,Short Term,219560,366985,11586,,0
6335,Rent,1850087,7 years,0,7,12.5,452188,0,19,0,debt consolidation,Short Term,349756,317870,18347,742,0
6336,Home Mortgage,1507764,< 1 year,0,5,21.2,211926,0,10,0,other,Short Term,344740,58938,1508,704,0
6337,Rent,,1 year,0,21,16.5,714516,0,1,0,debt consolidation,Short Term,162910,276450,26702,,0
6338,Rent,1487168,< 1 year,0,9,6.9,12914,0,3,0,debt consolidation,Short Term,103312,1235,18837,674,1
6339,Rent,2693782,2 years,0,21,16.6,757196,0,11,0,debt consolidation,Short Term,467874,461681,15557,7330,1
6340,Home Mortgage,,9 years,0,11,27.5,943734,0,11,0,debt consolidation,Short Term,728596,400995,36844,,0
6341,Home Mortgage,725401,10+ years,0,4,13.9,362296,0,,0,debt consolidation,Long Term,99999999,221540,4661,736,0
6342,Home Mortgage,,1 year,0,10,16.4,873488,0,31,0,debt consolidation,Short Term,767382,304000,25847,,0
6343,Rent,390241,< 1 year,0,4,17.8,293018,0,78,0,other,Long Term,61732,104253,2361,7230,1
6344,Rent,675659,6 years,0,11,14,410894,0,,0,debt consolidation,Short Term,304238,346351,12387,729,1
6345,Home Mortgage,1089498,10+ years,0,10,14.7,1097668,0,7,0,other,Short Term,529518,589646,19520,698,0
6346,Home Mortgage,,,0,8,13.4,235554,0,,0,debt consolidation,Short Term,310288,136496,16281,,0
6347,Home Mortgage,,10+ years,0,12,14.5,369292,0,26,0,debt consolidation,Short Term,369204,237272,22917,,0
6348,Own Home,741456,10+ years,0,8,17.3,649858,0,,0,debt consolidation,Long Term,378290,363128,16312,686,0
6349,Own Home,790837,< 1 year,0,5,12.9,270094,0,,0,debt consolidation,Short Term,268004,197353,6458,741,0
6350,Home Mortgage,1835856,3 years,0,11,32,901318,0,,0,medical bills,Long Term,465014,21014,13203,732,0
6351,Home Mortgage,1250067,3 years,0,10,16.6,160358,1,26,1,debt consolidation,Long Term,99999999,121448,30939,672,0
6352,Rent,,3 years,0,11,20.7,681362,0,33,0,debt consolidation,Short Term,325160,260091,12269,,1
6353,Home Mortgage,2639252,6 years,0,12,40.7,730840,0,26,0,debt consolidation,Long Term,763994,335787,29252,699,0
6354,Rent,823859,7 years,0,6,16.8,206228,1,,1,debt consolidation,Short Term,99999999,118085,14349,715,0
6355,Home Mortgage,1447667,10+ years,0,10,20.4,299530,0,,0,home improvements,Long Term,446996,72694,7202,6640,1
6356,Rent,1140570,2 years,0,15,25.7,294976,0,14,0,debt consolidation,Short Term,100452,105982,15588,719,0
6357,Rent,965086,10+ years,0,9,19.2,296736,0,22,0,debt consolidation,Short Term,343838,186561,15361,739,1
6358,Home Mortgage,,10+ years,0,13,30,88770,0,48,0,debt consolidation,Short Term,216260,41933,33756,,0
6359,Rent,2188287,< 1 year,0,9,16,881100,0,,0,buy house,Short Term,616924,150670,2243,747,0
6360,Rent,,10+ years,0,18,23.2,706838,1,,1,buy a car,Short Term,223410,186200,49088,,0
6361,Home Mortgage,1112526,7 years,0,11,14,1724624,0,,0,other,Short Term,113256,698554,8882,728,0
6362,Home Mortgage,2296188,,0,8,30.4,870738,0,39,0,debt consolidation,Short Term,443124,306071,9108,745,1
6363,Rent,898092,5 years,0,13,18.3,396044,1,,1,debt consolidation,Short Term,99999999,187777,22976,723,0
6364,Own Home,2270652,10+ years,0,11,29.7,440616,0,2,0,debt consolidation,Short Term,99999999,130910,25734,736,0
6365,Home Mortgage,764256,7 years,0,7,9.6,471086,0,,0,debt consolidation,Short Term,176990,209114,16368,739,1
6366,Rent,643549,2 years,0,6,10.7,258456,0,,0,debt consolidation,Short Term,175340,179018,7229,739,0
6367,Home Mortgage,1896010,5 years,0,14,28.6,843458,1,31,0,debt consolidation,Long Term,526900,487331,21172,7130,1
6368,Home Mortgage,921766,< 1 year,0,11,13.4,137654,1,,1,home improvements,Long Term,333542,34238,8219,714,0
6369,Rent,,10+ years,0,11,11.9,182028,0,,0,medical bills,Short Term,143902,73568,13651,,1
6370,Rent,413269,2 years,0,14,7.4,1416228,0,,0,debt consolidation,Short Term,162602,255626,7198,708,1
6371,Home Mortgage,833492,10+ years,0,12,15,382162,0,61,0,debt consolidation,Long Term,361372,329061,12224,601,1
